RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2;;;
22-May-2020 14:38:00;658;SINGAPORE;EN-GB;9;2;10;10;10;7;7;10;7;2;7;6;5;5;6;0;50;50;6;7;0;7;6;0;0;3;3;3;5;8;7;7;7;10;7;7;7;9;5;5;5;5;10;6;5;3;5;7;5;7;6;7;10;2;0;0;7;7;2;6;6;2;1;6;6;6;5;5;1;20;20;8;5;8;50;3;1;1;NA;46;3;1;1;NA;6;2;1;1;213;0;NA;NA;NA
22-May-2020 14:38:00;1165;SINGAPORE;EN-GB;10;0;10;10;10;9;9;9;9;9;9;9;9;9;9;0;100;0;5;5;5;6;5;10;10;5;5;5;5;5;9;9;9;5;2;5;5;5;5;5;5;5;5;5;8;8;8;8;8;8;5;3;5;3;5;3;6;4;5;7;7;5;3;7;7;7;7;7;7;70;70;5;1;8;50;300;16;2;NA;47;3;0;5;NA;6;1;1;1;213;0;NA;NA;NA
22-May-2020 14:39:00;731;SINGAPORE;EN-GB;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;70;20;10;0;1;2;7;5;10;5;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;9;8;8;3;1;5;5;10;8;10;5;1;10;10;10;0;9;9;0;7;5;10;80;80;5;1;5;40;3;4;1;NA;48;3;1;1;NA;10;1;1;1;213;0;NA;NA;NA
22-May-2020 14:39:00;1448;SINGAPORE;EN-GB;10;0;10;10;10;5;5;8;8;2;8;10;10;10;10;20;80;0;8;7;6;10;6;10;10;0;0;0;0;3;10;10;10;0;2;5;8;9;9;8;5;8;5;6;5;5;6;9;5;4;9;6;8;0;0;0;7;0;0;8;8;5;0;7;6;3;3;7;8;20;20;7;6;4;50;100;4;2;NA;49;1;0;3;NA;5;1;1;1;213;0;NA;NA;NA
22-May-2020 14:40:00;1073;SINGAPORE;EN-GB;7;8;8;9;9;8;9;9;9;8;1;4;7;6;7;20;70;10;8;8;7;8;7;8;4;7;8;8;6;7;7;8;8;8;7;8;9;8;8;9;8;8;7;8;8;7;8;8;0;4;6;6;8;8;8;8;9;9;3;7;7;7;7;7;7;3;7;7;6;80;80;6;9;6;25;300;4;2;NA;45;3;2;1;NA;4;1;1;1;213;7;NA;NA;NA
22-May-2020 14:41:00;1608;SINGAPORE;EN-GB;10;0;9;10;10;10;10;10;10;10;6;10;10;10;10;30;35;35;9;10;9;7;5;10;10;8;5;3;7;0;10;7;10;6;10;10;5;10;10;9;9;0;5;9;8;8;8;9;8;8;1;1;8;7;7;1;7;5;0;10;10;0;0;5;7;0;7;8;9;30;30;7;14;8;50;100;4;2;NA;43;3;2;1;NA;6;1;1;1;213;10;NA;NA;NA
22-May-2020 14:42:00;1022;SINGAPORE;EN-GB;9;0;8;10;10;8;8;8;6;8;5;6;4;9;8;50;50;0;5;7;5;4;5;8;8;5;2;2;2;3;9;9;9;1;1;5;5;9;9;9;6;8;7;7;7;7;7;7;8;8;3;5;7;6;7;2;6;5;1;9;9;8;1;7;5;2;7;7;8;10;10;5;16;8;25;3;7;2;NA;37;1;0;1;NA;5;1;1;1;213;0;NA;NA;NA
22-May-2020 14:43:00;2341;SINGAPORE;EN-GB;10;0;9;9;10;8;8;6;0;8;8;9;7;9;9;100;0;0;4;4;0;3;2;8;6;1;0;0;0;3;9;8;7;1;2;7;7;8;6;5;5;7;6;6;3;3;7;3;8;3;4;3;4;0;1;4;1;0;3;8;6;4;3;1;3;3;1;1;4;30;10;3;9;7;25;3;7;1;NA;42;1;0;1;NA;7;1;1;1;213;0;NA;NA;NA
22-May-2020 14:44:00;1154;SINGAPORE;EN-GB;10;0;6;6;8;6;5;4;5;5;7;3;5;5;5;10;50;40;5;5;6;5;5;6;8;7;7;7;5;4;5;7;8;3;5;5;5;5;4;5;5;5;5;5;4;5;5;5;4;5;5;5;5;6;5;4;5;3;5;6;6;5;6;6;5;5;4;5;4;40;40;6;16;5;1.5;900;42;1;NA;36;1;0;1;NA;6;1;1;1;213;5;NA;NA;NA
22-May-2020 14:44:00;1168;SINGAPORE;EN-GB;10;0;8;8;9;9;8;9;8;8;9;7;8;7;8;60;20;20;8;8;4;6;6;10;9;8;9;9;7;7;7;6;6;7;7;7;8;8;8;7;7;8;8;6;8;8;8;8;7;7;7;6;8;7;7;7;8;8;7;7;8;9;9;8;8;9;9;8;9;60;60;6;11;7;50;300;16;1;NA;38;1;0;1;NA;7;1;1;1;213;7;NA;NA;NA
22-May-2020 14:46:00;1471;SINGAPORE;EN-GB;2;10;8;7;9;9;9;7;6;7;9;9;9;9;9;35;35;30;7;6;9;7;8;9;9;2;2;2;2;5;7;8;8;4;3;7;4;4;7;7;4;4;7;7;8;7;8;8;8;8;5;3;7;5;8;2;7;7;3;8;8;7;3;6;2;3;3;7;8;10;10;5;1;7;50;300;4;1;NA;52;3;2;1;NA;5;1;1;1;213;0;NA;NA;NA
22-May-2020 14:46:00;2273;SINGAPORE;EN-GB;10;0;10;10;10;10;10;10;10;3;10;10;10;10;5;50;50;0;5;4;4;6;6;8;8;0;0;0;0;1;8;3;9;5;5;6;5;5;6;3;6;7;4;7;5;7;7;7;4;4;3;7;4;5;4;3;3;3;3;7;7;2;3;3;6;5;5;5;5;10;30;5;3;2;50;300;4;1;NA;52;3;2;1;NA;6;1;1;1;213;0;NA;NA;NA
22-May-2020 14:46:00;732;SINGAPORE;EN-GB;7;3;7;7;3;7;6;7;7;6;7;6;6;6;6;70;20;10;7;6;4;8;7;7;6;1;1;1;1;6;7;6;4;6;6;7;7;6;6;6;7;6;6;6;7;7;7;8;6;6;6;3;6;2;6;2;5;1;1;6;6;6;2;6;6;4;7;6;6;40;30;6;14;6;25;3;3;1;NA;50;1;0;1;NA;4;2;1;1;213;4;NA;NA;NA
22-May-2020 14:48:00;721;SINGAPORE;EN-GB;10;0;10;10;10;5;5;6;7;5;5;5;4;10;10;100;0;0;4;2;0;5;3;10;6;3;0;0;0;3;10;10;10;3;5;6;7;8;8;8;8;8;6;6;6;7;6;7;4;6;8;6;8;8;8;6;8;5;4;10;10;5;3;6;7;4;7;3;10;30;20;4;16;7;25;300;7;1;NA;33;1;0;4;NA;5;1;1;2;213;0;NA;NA;NA
